Date,AAPL,AMZN,BAC,CVX,DIS,GOOGL,HD,JNJ,JPM,LLY,MA,META,MSFT,NVDA,PG,TSLA,UNH,V,WMT,XOM
2020-06-05,80.56023406982422,124.1500015258789,24.85173797607422,80.96257781982422,122.77328491210938,71.57174682617188,225.98855590820312,127.80654907226562,96.32420349121094,140.7042236328125,302.81573486328125,229.51089477539062,179.35360717773438,8.89069652557373,104.61981964111328,59.04399871826172,287.728271484375,192.64019775390625,37.730167388916016,42.29456329345703
2020-06-08,81.03652954101562,126.2030029296875,25.231897354125977,82.91414642333984,125.19294738769531,71.97036743164062,227.6464385986328,127.34668731689453,98.2466812133789,140.7042236328125,301.3883972167969,230.13743591308594,180.46499633789062,8.776073455810547,105.25643157958984,63.327999114990234,285.54150390625,192.6305694580078,37.630855560302734,43.61725997924805
2020-06-09,83.59549713134766,130.04299926757812,24.94898796081543,81.54080963134766,121.85853576660156,72.17115783691406,227.6376190185547,126.64393615722656,95.72664642333984,140.62875366210938,302.43701171875,237.36778259277344,181.84466552734375,9.016282081604004,104.628662109375,62.711334228515625,285.2925109863281,192.12872314453125,37.66498947143555,42.6451530456543
2020-06-10,85.74622344970703,132.37249755859375,23.516765594482422,78.36849975585938,120.17656707763672,72.79840087890625,225.58963012695312,128.2404022216797,91.84700775146484,142.3921356201172,304.0487365722656,235.43836975097656,188.58958435058594,9.335978507995605,105.41557312011719,68.336669921875,282.1000671386719,193.47984313964844,37.606014251708984,40.35832977294922
2020-06-11,81.62950134277344,127.89800262451172,21.156246185302734,71.77488708496094,110.79300689697266,69.67711639404297,212.30868530273438,122.22749328613281,84.1829833984375,135.86660766601562,282.78521728515625,223.20545959472656,178.46261596679688,8.767350196838379,102.7896728515625,64.85600280761719,261.7834167480469,182.284912109375,37.27390670776367,36.796592712402344
2020-06-12,82.3342514038086,127.2509994506836,21.907724380493164,74.2002944946289,113.59626770019531,70.22483825683594,214.95068359375,123.33811950683594,86.48653411865234,135.35740661621094,289.1351318359375,227.33285522460938,179.87100219726562,8.903153419494629,102.22383117675781,62.35200119018555,263.093505859375,185.546875,36.54450225830078,37.58543014526367
2020-06-15,83.35250091552734,128.63400268554688,22.234834671020508,73.2686996459961,115.16019439697266,70.61351013183594,213.98431396484375,122.5572280883789,87.68160247802734,133.4525909423828,288.5332336425781,231.23146057128906,181.02069091796875,9.143610954284668,103.16983032226562,66.05999755859375,264.1361389160156,185.0642852783203,36.65003967285156,37.56153106689453
2020-06-16,85.56151580810547,130.7635040283203,22.809490203857422,75.51742553710938,116.4979019165039,71.892333984375,221.60000610351562,125.34244537353516,88.3830337524414,154.3776397705078,295.6307373046875,234.3642578125,185.4566650390625,9.03870677947998,104.4429931640625,65.47533416748047,270.3363037109375,186.1452178955078,37.13733673095703,38.40614700317383
2020-06-17,85.44244384765625,132.0489959716797,22.10222816467285,73.51764678955078,115.72086334228516,72.19402313232422,222.3979034423828,124.96065521240234,86.14878845214844,150.850830078125,294.9316711425781,234.2449188232422,186.0985870361328,9.205657005310059,104.26617431640625,66.11933135986328,269.9671936035156,186.8014678955078,36.94489669799805,37.155155181884766
2020-06-18,85.4764633178711,132.69900512695312,22.13758659362793,73.83890533447266,116.42904663085938,71.27852630615234,220.9439697265625,124.43136596679688,85.68115997314453,151.8881378173828,295.989990234375,234.65267944335938,188.09140014648438,9.187716484069824,105.45974731445312,66.9306640625,268.9339294433594,187.13925170898438,36.62210464477539,37.38622283935547
2020-06-19,84.98799896240234,133.75050354003906,22.3232421875,72.78681945800781,112.47496032714844,70.80734252929688,218.67430114746094,124.7957534790039,84.70259857177734,150.82252502441406,287.88275146484375,237.4871368408203,186.97042846679688,9.23082160949707,105.14146423339844,66.72666931152344,269.8697814941406,185.48895263671875,37.19941711425781,36.63722610473633
2020-06-22,87.21162414550781,135.6909942626953,21.766271591186523,73.55779266357422,114.01921081542969,72.10059356689453,220.89962768554688,124.41400909423828,83.78465270996094,151.30343627929688,295.5919494628906,237.91477966308594,192.16322326660156,9.495448112487793,104.1070327758789,66.28800201416016,271.19482421875,188.152587890625,37.76741409301758,36.987823486328125
2020-06-23,89.07313537597656,138.2205047607422,21.916563034057617,73.4373550415039,114.67822265625,72.76261901855469,221.91920471191406,123.95416259765625,84.8064956665039,150.2567138671875,297.96099853515625,240.9182891845703,193.4470977783203,9.418953895568848,104.0893325805664,66.78533172607422,275.7630920410156,191.05747985839844,37.57807922363281,37.21092987060547
2020-06-24,87.50080108642578,136.72000122070312,21.05015754699707,70.3854751586914,110.23233795166016,71.20793914794922,218.21328735351562,121.31649017333984,81.97470092773438,148.07839965820312,285.46502685546875,232.7431640625,189.54763793945312,9.205159187316895,102.93112182617188,64.0566635131836,267.9609069824219,184.7265625,37.33908462524414,35.45796203613281
2020-06-25,88.66242218017578,137.72900390625,21.854679107666016,71.64636993408203,109.53398132324219,71.62543487548828,217.5484161376953,121.18631744384766,84.83247375488281,153.5760955810547,289.3488464355469,234.3940887451172,191.94288635253906,9.458823204040527,104.2308120727539,65.73200225830078,274.4843444824219,187.206787109375,37.155967712402344,35.991817474365234
2020-06-26,85.93820190429688,134.64349365234375,20.466659545898438,69.43778991699219,107.31105041503906,67.72085571289062,213.6740264892578,119.57244110107422,80.18212127685547,153.5477752685547,280.9307861328125,214.90103149414062,188.1009521484375,9.124923706054688,101.8790283203125,63.982666015625,265.8297119140625,182.6612548828125,36.724517822265625,34.75675964355469
2020-06-29,87.91879272460938,134.0189971923828,20.6788387298584,70.40957641601562,109.69136047363281,69.44203186035156,218.2044219970703,120.63966369628906,80.53717803955078,153.4440460205078,284.41644287109375,219.4361572265625,190.12249755859375,9.169774055480957,104.02745819091797,67.29000091552734,268.4984436035156,184.69761657714844,36.9542121887207,35.31452941894531
2020-06-30,88.6527099609375,137.9409942626953,20.997106552124023,71.66244506835938,109.68153381347656,70.47981262207031,222.09646606445312,122.01924896240234,81.4551010131836,154.82081604003906,287.10595703125,225.83108520507812,194.98001098632812,9.466546058654785,105.71615600585938,71.98733520507812,273.30755615234375,186.42514038085938,37.17769241333008,35.63325119018555
2020-07-01,88.48502349853516,143.93499755859375,20.56390953063965,70.36943054199219,111.15693664550781,71.67017364501953,220.00413513183594,121.80235290527344,80.7623291015625,153.990966796875,292.4169616699219,236.25390625,196.1201171875,9.498690605163574,106.07866668701172,74.64199829101562,275.8836669921875,187.0137939453125,37.14975357055664,34.82847213745117
